special_token_size	1
token_size	49
singleton_size	0
singleton_max_count	1
0	*NULL*	1
1	NN	107981
2	IN	72385
3	DT	56652
4	JJ	44485
5	NNS	36480
6	,	25769
7	VB	20909
8	RB	20655
9	VBD	20399
10	PRP	19605
11	.	19605
12	CC	15906
13	VBN	14566
14	NNP	13093
15	VBZ	12666
16	VBG	11690
17	TO	10966
18	VBP	9814
19	CD	7639
20	PRP$	6651
21	MD	6640
22	''	5784
23	``	5481
24	POS	4659
25	HYPH	3707
26	WDT	3641
27	:	2292
28	WP	2064
29	RP	1662
30	-LRB-	1587
31	-RRB-	1582
32	WRB	1580
33	JJR	1172
34	UH	885
35	RBR	655
36	EX	580
37	$	555
38	JJS	545
39	FW	505
40	PDT	425
41	RBS	415
42	NNPS	185
43	SYM	155
44	WP$	87
45	NFP	65
46	LS	35
47	AFX	15
48	GW	10
49	ADD	5
